model,auroc,auroc_std,f1,precision,recall,n_features,features
B1_AM_only_LR,0.6230111372031414,0.038937407264445306,0.5151932686211886,0.7807436975582064,0.3845579477782868,1,alpha_missense
B1_AM_only_RF,0.57514227609324,0.021107645494112794,0.6997713936246525,0.7216349661738928,0.6797938616582685,1,alpha_missense
B2_AM+ddG_LR,0.5801094577799196,0.0682157863382878,0.5883632220043384,0.7512476702681721,0.4888731103985341,3,"alpha_missense,RaSP,ThermoMPNN"
B2_AM+ddG_RF,0.6475615606961835,0.016919216556571453,0.7896704816404172,0.7258204788274542,0.8659528172240037,3,"alpha_missense,RaSP,ThermoMPNN"
B3_AM+ddG+ESM_LR,0.5787118454391063,0.06481025562207207,0.6257711784692496,0.7510159985034297,0.5376065048098946,4,"alpha_missense,RaSP,ThermoMPNN,ESM1b"
B3_AM+ddG+ESM_RF,0.654161241541239,0.011735146469905575,0.7934291015666687,0.7312440520077972,0.8672972972972973,4,"alpha_missense,RaSP,ThermoMPNN,ESM1b"
B4_full_Layer1_LR,0.5762829760682006,0.06645134597636361,0.6233676382149631,0.7503327158755407,0.5342075125973431,5,"alpha_missense,RaSP,ThermoMPNN,ESM1b,delta_hydro"
B4_full_Layer1_RF,0.6761595428748359,0.01891139859367063,0.8129718359211517,0.7437870180275927,0.8964131928538709,5,"alpha_missense,RaSP,ThermoMPNN,ESM1b,delta_hydro"
B5_L1+baseline_LR,0.7111167281208683,0.03305095192764793,0.7118381216396831,0.8166325178630741,0.6309940448923499,6,"alpha_missense,RaSP,ThermoMPNN,ESM1b,delta_hydro,ctrls_comb"
B5_L1+baseline_RF,0.751311530363801,0.015833443954256152,0.8182036888326237,0.7650014088924912,0.8794709115895556,6,"alpha_missense,RaSP,ThermoMPNN,ESM1b,delta_hydro,ctrls_comb"
