v2r_precision,v2r_recall,rho_precision,rho_recall
0.6924519456165026,1.0,0.6541705716963448,1.0
0.6927767354596623,1.0,0.6538461538461539,0.998567335243553
0.6932832315641146,0.999322951929587,0.6544600938967137,0.998567335243553
0.693935119887165,0.999322951929587,0.6541353383458647,0.997134670487106
0.6942615239887112,0.999322951929587,0.655367231638418,0.997134670487106
0.6945882352941176,0.999322951929587,0.6550424128180962,0.995702005730659
0.6952425812529439,0.999322951929587,0.6559546313799622,0.994269340974212
0.6950989632422243,0.998645903859174,0.6580952380952381,0.9899713467048711
0.6956111373289288,0.997968855788761,0.6593511450381679,0.9899713467048711
0.6962683042040624,0.997968855788761,0.6596558317399618,0.9885386819484241
0.6972998578872572,0.996614759647935,0.6612284069097889,0.9871060171919771
0.698292220113852,0.996614759647935,0.6624879459980714,0.9842406876790831
0.6989553656220323,0.996614759647935,0.6644100580270793,0.9842406876790831
0.6986692015209125,0.995260663507109,0.6653734238603298,0.9828080229226361
0.6991908614945264,0.994583615436696,0.6673170731707317,0.9799426934097422
0.6993806574559314,0.993906567366283,0.6683022571148185,0.9756446991404012
0.7000476871721507,0.993906567366283,0.6686332350049164,0.9742120343839542
0.7005730659025788,0.99322951929587,0.6699507389162561,0.9742120343839542
0.7009077878643096,0.99322951929587,0.6716122650840751,0.9727793696275072
0.7016283524904214,0.991875423155044,0.6739562624254473,0.9713467048710601
0.7019645424053665,0.991875423155044,0.6746506986027944,0.9684813753581661
0.7016786570743405,0.990521327014218,0.6753507014028056,0.9656160458452722
0.7023523763802209,0.990521327014218,0.6770623742454729,0.9641833810888252
0.7030273906775588,0.990521327014218,0.680161943319838,0.9627507163323782
0.7032227032227032,0.989844278943805,0.6816326530612244,0.9570200573065902
0.7047756874095513,0.989167230873392,0.684156378600823,0.9527220630372493
0.7057971014492753,0.989167230873392,0.6853002070393375,0.9484240687679083
0.7064531780688986,0.985781990521327,0.6885416666666667,0.9469914040114613
0.7083739045764362,0.9851049424509141,0.6907756813417191,0.9441260744985673
0.7091264031234749,0.983750846310088,0.6919032597266036,0.9426934097421203
0.70947265625,0.983750846310088,0.6945031712473573,0.9412607449856734
0.7093307278944797,0.983073798239675,0.6963906581740976,0.9398280802292264
0.7102941176470589,0.981042654028436,0.6987179487179487,0.9369627507163324
0.7108492881688758,0.980365605958023,0.7003222341568206,0.9340974212034384
0.7114060963618486,0.97968855788761,0.6994594594594594,0.9269340974212035
0.7119645494830132,0.979011509817197,0.7032608695652174,0.9269340974212035
0.7127344521224087,0.977657413676371,0.7022900763358778,0.9226361031518625
0.7137913989125062,0.977657413676371,0.7020810514786419,0.9183381088825215
0.715136476426799,0.975626269465132,0.7037444933920705,0.9154727793696275
0.715852442671984,0.972241029113067,0.7057522123893806,0.9140401146131805
0.7164253619570644,0.9715639810426541,0.7063403781979978,0.9097421203438395
0.7182957393483709,0.970209884901828,0.7123595505617978,0.9083094555873925
0.7204030226700252,0.9681787406905891,0.713641488162345,0.9068767908309455
0.7215765538150581,0.966824644549763,0.7150964812712827,0.9025787965616046
0.7223910840932117,0.965470548408937,0.7157534246575342,0.8982808022922636
0.7233502538071066,0.9647935003385241,0.7172413793103448,0.8939828080229226
0.725050916496945,0.964116452268111,0.7197674418604652,0.8868194842406877
0.7267620020429009,0.963439404197698,0.7224824355971897,0.8839541547277937
0.7272262026612077,0.9620853080568721,0.7243816254416962,0.8810888252148997
0.7280205655526992,0.9587000677048071,0.7245862884160756,0.8782234957020058
0.7287261474987107,0.956668923493568,0.7265160523186682,0.8753581661891118
0.7288223140495868,0.9553148273527421,0.7275985663082437,0.8724928366762178
0.7313278008298755,0.9546377792823291,0.7322074788902292,0.8696275071633238
0.7320499479708636,0.95260663507109,0.7342233009708737,0.8667621776504298
0.7328802927339257,0.949221394719025,0.7362637362637363,0.8638968481375359
0.7354330708661417,0.9485443466486121,0.7416974169741697,0.8638968481375359
0.7374537770734284,0.9451591062965471,0.7447335811648079,0.8610315186246418
0.7404458598726115,0.9444820582261341,0.7484355444305382,0.8567335243553008
0.7414712153518124,0.9417738659444821,0.7506329113924051,0.8495702005730659
0.7431635388739947,0.9383886255924171,0.7535121328224776,0.8452722063037249
0.7447495961227787,0.936357481381178,0.7544987146529563,0.8409742120343839
0.745945945945946,0.9343263371699391,0.7545219638242894,0.836676217765043
0.7466087900162778,0.9316181448882871,0.7558441558441559,0.833810888252149
0.7472707423580786,0.926878808395396,0.7568627450980392,0.829512893982808
0.7491785323110625,0.926201760324983,0.7572178477690289,0.826647564469914
0.7502750275027503,0.923493568043331,0.7568988173455979,0.8252148997134671
0.7505518763796909,0.9207853757616791,0.7566137566137566,0.8194842406876791
0.7520798668885191,0.9180771834800271,0.7566489361702128,0.8151862464183381
0.7540345019476906,0.9174001354096141,0.7553475935828877,0.8094555873925502
0.7547592385218365,0.9126607989167231,0.7570469798657719,0.8080229226361032
0.7573198198198198,0.9106296547054841,0.7608108108108108,0.8065902578796562
0.7570621468926554,0.9072444143534191,0.7636612021857924,0.8008595988538681
0.7585227272727273,0.9038591740013541,0.7637362637362637,0.7965616045845272
0.7595878649112765,0.8984427894380501,0.770949720670391,0.7908309455587392
0.7603448275862069,0.8957345971563981,0.7722772277227723,0.7822349570200573
0.7609953703703703,0.8903182125930941,0.7722063037249284,0.7722063037249284
0.7629586488060571,0.8869329722410291,0.7705627705627706,0.7650429799426934
0.765017667844523,0.8794854434664862,0.7714701601164483,0.7593123209169055
0.7667258732978094,0.8767772511848341,0.7764705882352941,0.7564469914040115
0.768955223880597,0.8720379146919431,0.7827380952380952,0.7535816618911175
0.7697841726618705,0.8693297224102912,0.7822822822822822,0.7464183381088825
0.7724803862401931,0.8666215301286392,0.7860394537177542,0.7421203438395415
0.7739975698663426,0.8625592417061612,0.7862595419847328,0.7378223495702005
0.7755351681957187,0.8584969532836831,0.7876923076923077,0.7335243553008596
0.7775046097111248,0.8564658090724442,0.7867078825347759,0.7292263610315186
0.7791563275434243,0.8503723764387271,0.7888198757763976,0.7277936962750716
0.781602002503129,0.8456330399458362,0.7943485086342229,0.7249283667621776
0.7831021437578815,0.8408937034529451,0.7974683544303798,0.7220630372492837
0.7852604828462516,0.8368314150304672,0.8019169329073482,0.7191977077363897
0.7861271676300579,0.8287068381855112,0.8058727569331158,0.7077363896848138
0.7878395860284605,0.8246445497630331,0.8088962108731467,0.7034383954154728
0.788787483702738,0.8192281651997292,0.8102310231023102,0.7034383954154728
0.7883355176933159,0.8144888287068381,0.81,0.6962750716332379
0.7940199335548173,0.8090724441435342,0.8100840336134454,0.6905444126074498
0.7962466487935657,0.8043331076506431,0.8104906937394247,0.6862464183381088
0.7976995940460081,0.7982396750169262,0.8153846153846154,0.6833810888252149
0.7990430622009569,0.7914691943127962,0.8194444444444444,0.6762177650429799
0.8027491408934708,0.7907921462423833,0.8181818181818182,0.670487106017192
0.8031878031878031,0.7846987136086662,0.8236331569664903,0.669054441260745
0.8054583624912526,0.7792823290453622,0.8258527827648114,0.6590257879656161
0.8076379066478077,0.7731888964116452,0.8245931283905967,0.6532951289398281
0.8078571428571428,0.7657413676371022,0.8238532110091743,0.6432664756446992
0.8111031002162942,0.7616790792146242,0.8277777777777777,0.6404011461318052
0.8130909090909091,0.7569397427217333,0.8283582089552238,0.6361031518624641
0.8142437591776799,0.7508463100880163,0.8311444652908068,0.6346704871060171
0.8153387937453462,0.7413676371022343,0.8295454545454546,0.6275071633237822
0.8156508653122648,0.7339201083276913,0.8279158699808795,0.6203438395415473
0.816933638443936,0.7251184834123223,0.8281853281853282,0.6146131805157593
0.8181114551083591,0.7156398104265402,0.8303747534516766,0.6031518624641834
0.8191072826938136,0.7081922816519973,0.8283433133732535,0.5945558739255015
0.8214849921011058,0.7041299932295193,0.8296146044624746,0.5859598853868195
0.8236233040702314,0.6987136086662153,0.8299180327868853,0.5802292263610315
0.826157595450853,0.6885578876100203,0.831275720164609,0.5787965616045845
0.8282910874897792,0.6858496953283684,0.8368200836820083,0.5730659025787965
0.8316666666666667,0.6756939742721734,0.8357894736842105,0.5687679083094556
0.8341793570219966,0.6675693974272173,0.8389830508474576,0.5673352435530086
0.8382099827882961,0.6594448205822614,0.8376068376068376,0.5616045845272206
0.8405923344947736,0.6533513879485443,0.838012958963283,0.5558739255014327
0.8415492957746479,0.6472579553148273,0.8398268398268398,0.5558739255014327
0.8446428571428571,0.6404874746106973,0.8454746136865342,0.5487106017191977
0.8460144927536232,0.6323628977657414,0.8459821428571429,0.5429799426934098
0.8470046082949308,0.6222071767095464,0.8490990990990991,0.5401146131805158
0.8493919550982226,0.6147596479350034,0.8487584650112867,0.5386819484240688
0.8498583569405099,0.6093432633716994,0.8489702517162472,0.5315186246418339
0.8501908396946565,0.6032498307379824,0.8505747126436781,0.5300859598853869
0.8521400778210116,0.5930941096817874,0.8504672897196262,0.5214899713467048
0.8509803921568627,0.5876777251184834,0.8534278959810875,0.5171919770773639
0.8504486540378864,0.5775220040622884,0.8523809523809524,0.5128939828080229
0.8525252525252526,0.5714285714285714,0.8516746411483254,0.5100286532951289
0.8562628336755647,0.5646580907244414,0.8519417475728155,0.502865329512894
0.8583420776495279,0.5538253215978335,0.8493827160493828,0.49283667621776506
0.8612593383137673,0.5463777928232905,0.8521303258145363,0.4871060171919771
0.8657865786578658,0.5328368314150305,0.8553299492385786,0.4828080229226361
0.8688340807174888,0.5247122545700744,0.8556701030927835,0.47564469914040114
0.8725824800910125,0.5192958700067705,0.8541666666666666,0.4699140401146132
0.8751445086705202,0.5125253893026405,0.8582887700534759,0.45988538681948427
0.8777908343125734,0.5057549085985105,0.8586956521739131,0.45272206303724927
0.8770883054892601,0.4976303317535545,0.8646408839779005,0.4484240687679083
0.8792682926829268,0.4881516587677725,0.8676056338028169,0.44126074498567336
0.8830845771144279,0.48070412999322953,0.8689458689458689,0.4369627507163324
0.8833124215809285,0.4766418415707515,0.867816091954023,0.4326647564469914
0.8850129198966409,0.46377792823290453,0.8688046647230321,0.4269340974212034
0.8883048620236531,0.45768449559918756,0.8709677419354839,0.42550143266475643
0.8915989159891599,0.44549763033175355,0.875,0.42120343839541546
0.8917018284106891,0.42924847664184157,0.8761329305135952,0.4154727793696275
0.8959537572254336,0.4197698036560596,0.8780487804878049,0.41260744985673353
0.8952802359882006,0.4109681787406906,0.8796296296296297,0.40830945558739257
0.8986384266263238,0.40216655382532157,0.8789808917197452,0.3954154727793696
0.9025157232704403,0.3886255924170616,0.8774193548387097,0.38968481375358166
0.9068627450980392,0.37576167907921465,0.8774834437086093,0.37965616045845274
0.9069373942470389,0.3628977657413676,0.8758389261744967,0.37392550143266473
0.9111498257839721,0.35409614082599866,0.8793103448275862,0.3653295128939828
0.9133574007220217,0.3425863236289777,0.8767605633802817,0.35673352435530087
0.9118198874296435,0.3290453622207177,0.8821428571428571,0.3538681948424069
0.9106796116504854,0.3175355450236967,0.8808664259927798,0.3495702005730659
0.9105691056910569,0.3033175355450237,0.8819188191881919,0.3424068767908309
0.9157667386609071,0.2870683818551117,0.8783269961977186,0.330945558739255
0.9216589861751152,0.2708192281651997,0.8773946360153256,0.32808022922636104
0.9240196078431373,0.25524712254570076,0.8803088803088803,0.32664756446991405
0.937984496124031,0.24576844955991875,0.8853754940711462,0.3209169054441261
0.9418282548476454,0.23019634394041977,0.8870967741935484,0.3151862464183381
0.9431137724550899,0.2132701421800948,0.8925619834710744,0.30945558739255014
0.945859872611465,0.20108327691266079,0.8961038961038961,0.29656160458452724
0.9453924914675768,0.18754231550440081,0.8938053097345132,0.28939828080229224
0.9467680608365019,0.16858496953283683,0.8909090909090909,0.2808022922636103
0.9423868312757202,0.15504400812457683,0.8899082568807339,0.27793696275071633
0.9495412844036697,0.14014895057549087,0.892018779342723,0.2722063037249284
0.9547738693467337,0.12863913337846988,0.8980582524271845,0.26504297994269344
0.9485714285714286,0.11238997968855789,0.9014778325123153,0.2621776504297994
0.9605263157894737,0.0988490182802979,0.8979591836734694,0.2521489971346705
0.9609375,0.08327691266079891,0.9020618556701031,0.2507163323782235
0.9611650485436893,0.06702775897088693,0.9010416666666666,0.24785100286532952
0.9583333333333334,0.046716316858496955,0.9042553191489362,0.24355300859598855
0.9423076923076923,0.03317535545023697,0.907103825136612,0.23782234957020057
0.9696969696969697,0.021665538253215978,0.9101123595505618,0.23209169054441262
0.9411764705882353,0.010832769126607989,0.9127906976744186,0.22492836676217765
1.0,0.004062288422477996,0.9079754601226994,0.21203438395415472
1.0,0.0,0.9038461538461539,0.2020057306590258
,,0.9060402684563759,0.19340974212034384
,,0.9071428571428571,0.1819484240687679
,,0.9022556390977443,0.17191977077363896
,,0.90625,0.166189111747851
,,0.9,0.15472779369627507
,,0.9122807017543859,0.1489971346704871
,,0.908256880733945,0.14183381088825214
,,0.9019607843137255,0.1318051575931232
,,0.90625,0.12464183381088825
,,0.9111111111111111,0.1174785100286533
,,0.9186046511627907,0.11318051575931232
,,0.9230769230769231,0.10315186246418338
,,0.9154929577464789,0.09312320916905444
,,0.9152542372881356,0.07736389684813753
,,0.9074074074074074,0.07020057306590258
,,0.8936170212765957,0.06017191977077364
,,0.9,0.05157593123209169
,,0.9117647058823529,0.044412607449856735
,,0.9259259259259259,0.03581661891117478
,,0.95,0.027220630372492838
,,0.9,0.012893982808022923
,,1.0,0.0
